X,Y
-10.0,-2748.2835414325705
-9.797979797979798,-2586.2102798516166
-9.595959595959595,-2430.658884310567
-9.393939393939394,-2281.4948833446815
-9.191919191919192,-2138.583805489218
-8.98989898989899,-2001.7911792794378
-8.787878787878787,-1870.9825332506005
-8.585858585858587,-1746.0233959379666
-8.383838383838384,-1626.7792958767936
-8.181818181818182,-1513.1157616023424
-7.979797979797979,-1404.8983216498732
-7.777777777777778,-1301.9925045546454
-7.575757575757576,-1204.263838851919
-7.373737373737374,-1111.5778530769524
-7.171717171717171,-1023.8000757650063
-6.96969696969697,-940.7960354513408
-6.767676767676768,-862.4312606712151
-6.565656565656566,-788.5712799598887
-6.363636363636363,-719.0816218526215
-6.161616161616162,-653.8278148846737
-5.959595959595959,-592.6753875913042
-5.757575757575758,-535.4898685077735
-5.555555555555555,-482.1367861693406
-5.353535353535354,-432.4816691112658
-5.151515151515151,-386.3900458688083
-4.94949494949495,-343.7274449772283
-4.747474747474747,-304.35939497178515
-4.545454545454546,-268.15142438773887
-4.343434343434343,-234.96906176034878
-4.141414141414142,-204.67783562487503
-3.9393939393939394,-177.143274516577
-3.737373737373738,-152.2309069707146
-3.5353535353535355,-129.80626152254743
-3.333333333333333,-109.73486670733526
-3.1313131313131315,-91.88225106033788
-2.929292929292929,-76.11394311681484
-2.7272727272727275,-62.295471412026
-2.525252525252525,-50.292364481230955
-2.3232323232323235,-39.970150859689525
-2.121212121212121,-31.194359082661332
-1.9191919191919187,-23.830517685406143
-1.717171717171718,-17.744155203183723
-1.5151515151515156,-12.800800171253673
-1.3131313131313131,-8.865981124875768
-1.1111111111111107,-5.805226599309722
-0.9090909090909101,-3.4840651298152654
-0.7070707070707076,-1.768025251652072
-0.5050505050505052,-0.5226355000798801
-0.30303030303030276,0.3865755896415968
-0.10101010101010033,1.0940794822526452
0.10101010101010033,1.7343476424935451
0.30303030303030276,2.4418515351045933
0.5050505050505052,3.3510626248260706
0.7070707070707076,4.596452376398262
0.9090909090909083,6.3124922545614375
1.1111111111111107,8.633653724055913
1.3131313131313131,11.69440824962196
1.5151515151515156,15.629227295999865
1.7171717171717162,20.57258232792987
1.9191919191919187,26.658944810152335
2.121212121212121,34.02278620740752
2.3232323232323235,42.79857798443571
2.525252525252524,53.12079160597709
2.7272727272727266,65.12389853677213
2.929292929292929,78.94237024156102
3.1313131313131315,94.71067818508406
3.333333333333334,112.56329383208154
3.5353535353535346,132.63468864729356
3.737373737373737,155.0593340954607
3.9393939393939394,179.97170164132322
4.141414141414142,207.50626274962124
4.3434343434343425,237.79748888509485
4.545454545454545,270.9798515124849
4.747474747474747,307.18782209653136
4.94949494949495,346.5558721019745
5.1515151515151505,389.21847299355426
5.353535353535353,435.31009623601176
5.555555555555555,484.9652132940868
5.757575757575758,538.3182956325197
5.9595959595959584,595.5038147160502
6.161616161616163,656.6562420094201
6.363636363636363,721.9100489773678
6.565656565656564,791.3997070846342
6.767676767676768,865.2596877959613
6.969696969696969,943.6244625760867
7.171717171717173,1026.6285028897532
7.373737373737374,1114.4062802016986
7.575757575757574,1207.0922659766643
7.777777777777779,1304.820931679392
7.979797979797979,1407.7267487746194
8.18181818181818,1515.9441887270877
8.383838383838384,1629.6077230015399
8.585858585858585,1748.8518230627114
8.787878787878789,1873.810960375348
8.98989898989899,2004.619606404184
9.19191919191919,2141.4122326139623
9.393939393939394,2284.3233104694273
9.595959595959595,2433.4873114353127
9.7979797979798,2589.0387069763638
10.0,2751.1119685573162
